rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
33,2018-11-11,Domingo,17:00,Gremio,Vasco,4-2-3-1,4-2-3-1,Renato Gaúcho,A. Valentim do Carmo Neto,Gremio,Vasco,Arena do Grêmio,2,1,RS,RJ,2018
33,2018-11-11,Domingo,17:01,Ceara,Internacional,4-2-3-1,4-4-1-1,L. Cirne Lima de Lorenzi,O. Hellmann,Empate,Empate,Arena Castelão,1,1,CE,RS,2018
33,2018-11-11,Domingo,18:59,Fluminense,Sport,4-2-3-1,4-2-3-1,M. de Oliveira Santos,M. Mendes,Empate,Empate, Maracanã,0,0,RJ,PE,2018
33,2018-11-12,Segunda-feira,20:00,Santos,Chapecoense,4-3-3,4-2-3-1,A. Stival,C. dos Santos Oliveira,Chapecoense,Santos,Estádio Municipal Paulo Machado de Carvalho,0,1,SP,SC,2018
34,2018-11-14,Quarta-feira,19:30,Vasco,Athletico-PR,4-2-3-1,4-2-3-1,A. Valentim do Carmo Neto,T. Retzalff Nunes,Empate,Empate,Estádio Vasco da Gama,1,1,RJ,PR,2018
34,2018-11-14,Quarta-feira,21:00,Bahia,Ceara,4-2-3-1,4-2-3-1,E. Alves Moreira,L. Cirne Lima de Lorenzi,Bahia,Ceara,Itaipava Arena Fonte Nova,2,1,BA,CE,2018
34,2018-11-14,Quarta-feira,21:00,Parana,Atletico-MG,4-2-3-1,4-2-3-1,L. Cavalcanti,L. Culpi,Atletico-MG,Parana,Vila Capanema,0,1,PR,MG,2018
34,2018-11-14,Quarta-feira,21:45,Sport,Vitoria,4-2-3-1,4-1-4-1,M. Mendes,J. Burse,Empate,Empate,Adelmar da Costa Carvalho,0,0,PE,BA,2018
34,2018-11-14,Quarta-feira,21:45,Palmeiras,Fluminense,4-2-3-1,4-2-3-1,L. Scolari,M. de Oliveira Santos,Palmeiras,Fluminense,Allianz Parque,3,0,SP,RJ,2018
34,2018-11-14,Quarta-feira,21:45,Cruzeiro,Corinthians,4-4-2,4-2-3-1,L. Venker de Menezes,J. Ribeiro Ventura,Cruzeiro,Corinthians, Mineirão,1,0,MG,SP,2018
